name,position,status,current_team,season,targets,routes_run,targets_per_route_run,yards_per_route_run,air_yards_share,target_share,yards_after_catch_per_reception,fantasy_points_per_game
CeeDee Lamb,WR,active,Dallas Cowboys,2023,181,606,0.2987,2.8861,35.875,29.9174,5.037,23.72
Tyreek Hill,WR,active,Miami Dolphins,2023,171,464,0.3685,3.8772,43.9867,33.7278,5.479,23.53
Keenan Allen,WR,active,Los Angeles Chargers,2023,150,501,0.2994,2.481,38.7252,31.9829,3.6667,21.45
Amon-Ra St. Brown,WR,active,Detroit Lions,2023,164,562,0.2918,2.6957,33.2822,30.2026,5.6134,20.68
Justin Jefferson,WR,active,Minnesota Vikings,2023,100,364,0.2747,2.9505,38.6839,27.1739,3.8235,20.22
Puka Nacua,WR,active,Los Angeles Rams,2023,159,547,0.2907,2.7166,32.4725,28.7004,6.0857,17.56
Nico Collins,WR,active,Houston Texans,2023,109,400,0.2725,3.2425,26.7057,22.7083,6.8625,17.36
A.J. Brown,WR,active,Philadelphia Eagles,2023,158,562,0.2811,2.5907,38.2298,30.0952,4.4623,17.04
D.J. Moore,WR,active,Chicago Bears,2023,136,582,0.2337,2.3436,38.9108,28.8747,5.6146,16.85
Mike Evans,WR,active,Tampa Bay Buccaneers,2023,135,527,0.2562,2.3814,39.2828,24.5455,4.0759,16.62
Ja'Marr Chase,WR,active,Cincinnati Bengals,2023,145,590,0.2458,2.061,33.9172,26.3158,5.41,16.42
Deebo Samuel,WR,active,San Francisco 49ers,2023,89,364,0.2445,2.4505,16.8005,22.5316,8.7833,16.25
Stefon Diggs,WR,active,Buffalo Bills,2023,160,584,0.274,2.0257,32.9348,29.4659,3.729,16.11
Michael Pittman,WR,active,Indianapolis Colts,2023,156,555,0.2811,2.0757,31.7362,30.5284,4.7064,15.64
Davante Adams,WR,active,Las Vegas Raiders,2023,175,563,0.3108,2.032,44.2474,33.1439,3.2621,15.61
Brandon Aiyuk,WR,active,San Francisco 49ers,2023,105,422,0.2488,3.1801,37.9094,25,5.0933,15.58
Amari Cooper,WR,active,Cleveland Browns,2023,128,531,0.2411,2.354,42.4045,23.5727,3.7639,15.13
Tank Dell,WR,active,Houston Texans,2023,75,301,0.2492,2.3555,29.5498,20.3804,3.234,15
Chris Olave,WR,active,New Orleans Saints,2023,138,539,0.256,2.0835,38.1686,25.1825,3.9885,14.46
Devonta Smith,WR,active,Philadelphia Eagles,2023,112,583,0.1921,1.8285,30.0802,22.7642,3.6296,14.23
Jaylen Waddle,WR,active,Miami Dolphins,2023,104,378,0.2751,2.6825,29.7565,23.4234,5.8472,14.19
DK Metcalf,WR,active,Seattle Seahawks,2023,120,535,0.2243,2.0822,39.0802,22.9446,5.5606,14.09
Cooper Kupp,WR,active,Los Angeles Rams,2023,95,371,0.2561,1.9865,26.8185,25.6065,5.4576,13.7
Jakobi Meyers,WR,active,Las Vegas Raiders,2023,106,507,0.2091,1.5917,25.1652,20.9901,3.4085,13.66
Adam Thielen,WR,active,Carolina Panthers,2023,137,612,0.2239,1.6569,23.0873,25.6554,3.3495,13.59
Jayden Reed,WR,active,Green Bay Packers,2023,94,385,0.2442,2.0597,20.8602,17.5701,5.2344,13.58
